ID	Tx:40
AusGEM_00096.fa	956
AusGEM_00097.fa	532
AusGEM_00098.fa	532
AusGEM_00099.fa	477
AusGEM_00100.fa	234
AusGEM_00101.fa	UC
AusGEM_00102.fa	UC
AusGEM_00104.fa	956
AusGEM_00105.fa	956
AusGEM_00106.fa	662
AusGEM_00107.fa	662
AusGEM_00108.fa	866
AusGEM_00109.fa	398
AusGEM_00110.fa	234
AusGEM_00113.fa	662
AusGEM_00114.fa	UC
AusGEM_00115.fa	UC
AusGEM_00116.fa	956
AusGEM_00117.fa	866
AusGEM_00118.fa	234
AusGEM_00119.fa	UC
AusGEM_00120.fa	UC
AusGEM_00121.fa	485
AusGEM_00122.fa	UC
AusGEM_00124.fa	214
AusGEM_00125.fa	214
AusGEM_00126.fa	214
AusGEM_00127.fa	214
AusGEM_00128.fa	214
AusGEM_00129.fa	214
AusGEM_00130.fa	UC
AusGEM_00131.fa	214
AusGEM_00132.fa	214
AusGEM_00133.fa	214
AusGEM_00135.fa	155
AusGEM_00136.fa	155
AusGEM_00137.fa	155
AusGEM_00138.fa	155
AusGEM_00139.fa	286
AusGEM_00140.fa	286
AusGEM_00141.fa	286
AusGEM_00142.fa	286
AusGEM_00144.fa	95
AusGEM_00145.fa	1229
AusGEM_00146.fa	322
AusGEM_00147.fa	322
AusGEM_00148.fa	925
AusGEM_00150.fa	925
AusGEM_00151.fa	313
AusGEM_00152.fa	357
AusGEM_00153.fa	214
AusGEM_00154.fa	357
AusGEM_00156.fa	UC
AusGEM_00157.fa	298
AusGEM_00158.fa	UC
AusGEM_00159.fa	357
AusGEM_00160.fa	155
AusGEM_00161.fa	155
AusGEM_00162.fa	925
AusGEM_00163.fa	214
AusGEM_00164.fa	214
AusGEM_00165.fa	214
AusGEM_00166.fa	322
AusGEM_00167.fa	1229
AusGEM_00168.fa	322
AusGEM_00169.fa	322
AusGEM_00170.fa	322
AusGEM_00171.fa	322
AusGEM_00172.fa	322
AusGEM_00173.fa	322
AusGEM_00174.fa	322
AusGEM_00175.fa	322
AusGEM_00176.fa	322
AusGEM_00177.fa	95
AusGEM_00178.fa	UC
AusGEM_00179.fa	95
AusGEM_00180.fa	UC
AusGEM_00181.fa	230
AusGEM_00182.fa	UC
AusGEM_00183.fa	230
AusGEM_00184.fa	230
AusGEM_00185.fa	230
AusGEM_00186.fa	1487
AusGEM_00187.fa	1487
AusGEM_00188.fa	1487
AusGEM_00189.fa	1229
AusGEM_00190.fa	1487
AusGEM_00191.fa	230
AusGEM_00192.fa	230
AusGEM_00193.fa	230
AusGEM_00194.fa	2819
AusGEM_00195.fa	2819
AusGEM_00196.fa	612
AusGEM_00197.fa	612
AusGEM_00198.fa	370
AusGEM_00199.fa	370
AusGEM_00200.fa	1229
AusGEM_00201.fa	370
AusGEM_00202.fa	230
AusGEM_00203.fa	230
AusGEM_00204.fa	230
AusGEM_00205.fa	230
AusGEM_00206.fa	UC
AusGEM_00208.fa	420
AusGEM_00209.fa	1487
AusGEM_00210.fa	597
AusGEM_00211.fa	1229
AusGEM_00212.fa	597
AusGEM_00213.fa	597
AusGEM_00214.fa	597
AusGEM_00215.fa	597
AusGEM_00216.fa	597
AusGEM_00217.fa	597
AusGEM_00218.fa	597
AusGEM_00219.fa	420
AusGEM_00220.fa	420
AusGEM_00221.fa	1487
AusGEM_00222.fa	UC
AusGEM_00223.fa	1487
AusGEM_00224.fa	1487
AusGEM_00225.fa	1487
AusGEM_00226.fa	304
AusGEM_00227.fa	304
AusGEM_00228.fa	1063
AusGEM_00229.fa	1063
AusGEM_00230.fa	1063
AusGEM_00231.fa	1063
AusGEM_00232.fa	1063
AusGEM_00233.fa	101
AusGEM_00234.fa	1229
AusGEM_00235.fa	UC
AusGEM_00236.fa	UC
AusGEM_00238.fa	1063
AusGEM_00239.fa	1063
AusGEM_00240.fa	1063
AusGEM_00241.fa	171
AusGEM_00242.fa	171
AusGEM_00243.fa	171
AusGEM_00244.fa	171
AusGEM_00245.fa	101
AusGEM_00246.fa	UC
AusGEM_00247.fa	171
AusGEM_00248.fa	898
AusGEM_00249.fa	898
AusGEM_00250.fa	171
AusGEM_00251.fa	833
AusGEM_00252.fa	833
AusGEM_00253.fa	101
AusGEM_00254.fa	101
AusGEM_00255.fa	101
AusGEM_00256.fa	101
AusGEM_00257.fa	56
AusGEM_00258.fa	2819
AusGEM_00259.fa	262
AusGEM_00260.fa	1229
AusGEM_00261.fa	262
AusGEM_00262.fa	1159
AusGEM_00263.fa	UC
AusGEM_00264.fa	313
AusGEM_00265.fa	1159
AusGEM_00266.fa	1159
AusGEM_00267.fa	2819
AusGEM_00268.fa	214
AusGEM_00269.fa	214
AusGEM_00270.fa	214
AusGEM_00271.fa	UC
AusGEM_00272.fa	202
AusGEM_00273.fa	398
AusGEM_00274.fa	398
AusGEM_00275.fa	398
AusGEM_00276.fa	398
AusGEM_00277.fa	398
AusGEM_00278.fa	398
AusGEM_00279.fa	398
AusGEM_00280.fa	UC
AusGEM_00281.fa	398
AusGEM_00282.fa	662
AusGEM_00283.fa	398
AusGEM_00284.fa	UC
AusGEM_00285.fa	UC
AusGEM_00286.fa	777
AusGEM_00287.fa	777
AusGEM_00288.fa	777
AusGEM_00289.fa	777
AusGEM_00290.fa	UC
AusGEM_00291.fa	UC
AusGEM_00292.fa	UC
AusGEM_00293.fa	662
AusGEM_00294.fa	UC
AusGEM_00295.fa	322
AusGEM_00296.fa	322
AusGEM_00297.fa	322
AusGEM_00298.fa	322
AusGEM_00299.fa	322
AusGEM_00301.fa	322
AusGEM_00302.fa	977
AusGEM_00303.fa	977
AusGEM_00305.fa	977
AusGEM_00306.fa	977
AusGEM_00307.fa	977
AusGEM_00308.fa	322
AusGEM_00309.fa	322
AusGEM_00311.fa	322
AusGEM_00312.fa	322
AusGEM_00313.fa	214
AusGEM_00314.fa	477
AusGEM_00315.fa	662
AusGEM_00316.fa	477
AusGEM_00317.fa	477
AusGEM_00318.fa	477
AusGEM_00319.fa	422
AusGEM_00320.fa	422
AusGEM_00321.fa	422
AusGEM_00323.fa	UC
AusGEM_00324.fa	214
AusGEM_00325.fa	214
AusGEM_00326.fa	662
AusGEM_00327.fa	214
AusGEM_00328.fa	214
AusGEM_00329.fa	214
AusGEM_00330.fa	214
AusGEM_00331.fa	214
AusGEM_00332.fa	214
AusGEM_00333.fa	214
AusGEM_00334.fa	214
AusGEM_00335.fa	214
AusGEM_00336.fa	214
AusGEM_00337.fa	1229
AusGEM_00338.fa	UC
AusGEM_00339.fa	46
AusGEM_00340.fa	UC
AusGEM_00341.fa	156
AusGEM_00342.fa	156
AusGEM_00343.fa	UC
AusGEM_00344.fa	UC
AusGEM_00345.fa	UC
AusGEM_00346.fa	46
AusGEM_00347.fa	641
AusGEM_00348.fa	641
AusGEM_00349.fa	10
AusGEM_00350.fa	UC
AusGEM_00351.fa	UC
AusGEM_00352.fa	1213
AusGEM_00353.fa	UC
AusGEM_00354.fa	UC
AusGEM_00356.fa	376
AusGEM_00357.fa	559
AusGEM_00358.fa	UC
AusGEM_00359.fa	156
AusGEM_00360.fa	UC
AusGEM_00361.fa	156
AusGEM_00363.fa	UC
AusGEM_00365.fa	UC
AusGEM_00366.fa	UC
AusGEM_00367.fa	UC
AusGEM_00368.fa	UC
AusGEM_00369.fa	UC
AusGEM_00370.fa	266
AusGEM_00371.fa	UC
AusGEM_00372.fa	550
AusGEM_00373.fa	73
AusGEM_00374.fa	89
AusGEM_00375.fa	UC
AusGEM_00376.fa	UC
AusGEM_00378.fa	UC
AusGEM_00379.fa	UC
AusGEM_00380.fa	UC
AusGEM_00381.fa	UC
AusGEM_00382.fa	UC
AusGEM_00384.fa	UC
AusGEM_00385.fa	UC
AusGEM_00386.fa	UC
AusGEM_00387.fa	UC
AusGEM_00389.fa	537
AusGEM_00390.fa	1455
AusGEM_00391.fa	1455
AusGEM_00392.fa	576
AusGEM_00393.fa	662
AusGEM_00394.fa	UC
AusGEM_00395.fa	264
AusGEM_00396.fa	282
AusGEM_00397.fa	742
AusGEM_00398.fa	UC
AusGEM_00399.fa	742
AusGEM_00400.fa	282
AusGEM_00401.fa	UC
AusGEM_00403.fa	UC
AusGEM_00404.fa	264
AusGEM_00405.fa	1081
AusGEM_00406.fa	93
AusGEM_00407.fa	UC
AusGEM_00408.fa	UC
AusGEM_00409.fa	179
AusGEM_00410.fa	362
AusGEM_00411.fa	UC
AusGEM_00412.fa	UC
AusGEM_00413.fa	UC
AusGEM_00414.fa	282
AusGEM_00415.fa	UC
AusGEM_00416.fa	UC
AusGEM_00417.fa	20
AusGEM_00418.fa	UC
AusGEM_00419.fa	664
AusGEM_00420.fa	UC
AusGEM_00421.fa	362
AusGEM_00422.fa	UC
AusGEM_00423.fa	UC
AusGEM_00424.fa	102
AusGEM_00425.fa	UC
AusGEM_00426.fa	UC
AusGEM_00427.fa	11
AusGEM_00428.fa	11
AusGEM_00429.fa	UC
AusGEM_00430.fa	192
AusGEM_00431.fa	UC
AusGEM_00432.fa	UC
AusGEM_00433.fa	UC
AusGEM_00434.fa	UC
AusGEM_00435.fa	UC
AusGEM_00436.fa	51
AusGEM_00437.fa	UC
AusGEM_00439.fa	542
AusGEM_00441.fa	10
AusGEM_00442.fa	362
AusGEM_00443.fa	UC
AusGEM_00444.fa	156
AusGEM_00445.fa	11
AusGEM_00446.fa	11
AusGEM_00447.fa	UC
AusGEM_00449.fa	89
AusGEM_00450.fa	542
AusGEM_00451.fa	248
AusGEM_00452.fa	662
AusGEM_00453.fa	156
AusGEM_00454.fa	332
AusGEM_00455.fa	245
AusGEM_00456.fa	62
AusGEM_00457.fa	UC
AusGEM_00458.fa	978
AusGEM_00459.fa	UC
AusGEM_00460.fa	332
AusGEM_00461.fa	UC
AusGEM_00462.fa	266
AusGEM_00463.fa	2239
AusGEM_00464.fa	89
AusGEM_00466.fa	10
AusGEM_00467.fa	340
AusGEM_00468.fa	984
AusGEM_00469.fa	315
AusGEM_00470.fa	339
AusGEM_00471.fa	279
AusGEM_00472.fa	UC
AusGEM_00473.fa	10
AusGEM_00474.fa	264
AusGEM_00475.fa	UC
AusGEM_00476.fa	10
AusGEM_00477.fa	339
AusGEM_00478.fa	UC
AusGEM_00479.fa	10
AusGEM_00480.fa	340
AusGEM_00481.fa	UC
AusGEM_00482.fa	256
AusGEM_00483.fa	UC
AusGEM_00484.fa	UC
AusGEM_00485.fa	192
AusGEM_00486.fa	110
AusGEM_00487.fa	UC
AusGEM_00489.fa	179
AusGEM_00490.fa	292
AusGEM_00492.fa	156
AusGEM_00493.fa	179
AusGEM_00496.fa	UC
AusGEM_00497.fa	156
AusGEM_00498.fa	UC
AusGEM_00499.fa	UC
AusGEM_00500.fa	UC
AusGEM_00501.fa	UC
AusGEM_00502.fa	334
AusGEM_00503.fa	7
AusGEM_00504.fa	UC
AusGEM_00505.fa	46
AusGEM_00506.fa	UC
AusGEM_00507.fa	721
AusGEM_00508.fa	665
AusGEM_00512.fa	156
AusGEM_00513.fa	65
AusGEM_00514.fa	7
AusGEM_00515.fa	978
AusGEM_00516.fa	550
AusGEM_00518.fa	156
AusGEM_00520.fa	166
AusGEM_00521.fa	7
AusGEM_00522.fa	851
AusGEM_00523.fa	102
AusGEM_00524.fa	UC
AusGEM_00525.fa	UC
AusGEM_00526.fa	282
AusGEM_00527.fa	550
AusGEM_00528.fa	156
AusGEM_00529.fa	13
AusGEM_00530.fa	282
AusGEM_00531.fa	315
AusGEM_00532.fa	604
AusGEM_00533.fa	UC
AusGEM_00534.fa	851
AusGEM_00535.fa	UC
AusGEM_00536.fa	358
AusGEM_00537.fa	UC
AusGEM_00538.fa	145
AusGEM_00539.fa	515
AusGEM_00540.fa	65
AusGEM_00541.fa	UC
AusGEM_00542.fa	283
AusGEM_00543.fa	UC
AusGEM_00544.fa	197
AusGEM_00545.fa	365
AusGEM_00546.fa	365
AusGEM_00547.fa	94
AusGEM_00548.fa	94
AusGEM_00549.fa	820
AusGEM_00550.fa	UC
AusGEM_00551.fa	604
AusGEM_00552.fa	365
AusGEM_00553.fa	50
AusGEM_00554.fa	50
AusGEM_00555.fa	UC
AusGEM_00556.fa	268
AusGEM_00557.fa	UC
AusGEM_00558.fa	UC
AusGEM_00559.fa	334
AusGEM_00560.fa	820
AusGEM_00561.fa	UC
AusGEM_00563.fa	463
AusGEM_00564.fa	365
AusGEM_00565.fa	576
AusGEM_00566.fa	463
AusGEM_00567.fa	UC
AusGEM_00568.fa	UC
AusGEM_00569.fa	UC
AusGEM_00570.fa	156
AusGEM_00571.fa	UC
AusGEM_00572.fa	305
AusGEM_00573.fa	261
AusGEM_00574.fa	203
AusGEM_00575.fa	4
AusGEM_00576.fa	156
AusGEM_00577.fa	4
AusGEM_00578.fa	187
AusGEM_00579.fa	187
AusGEM_00580.fa	UC
AusGEM_00581.fa	UC
AusGEM_00582.fa	156
AusGEM_00583.fa	94
AusGEM_00584.fa	UC
AusGEM_00585.fa	1291
AusGEM_00586.fa	166
AusGEM_00587.fa	166
AusGEM_00588.fa	UC
AusGEM_00590.fa	20
AusGEM_00591.fa	UC
AusGEM_00592.fa	4
AusGEM_00593.fa	1291
AusGEM_00594.fa	UC
AusGEM_00595.fa	20
AusGEM_00596.fa	580
AusGEM_00597.fa	242
AusGEM_00598.fa	UC
AusGEM_00599.fa	UC
AusGEM_00600.fa	7
AusGEM_00601.fa	1291
AusGEM_00602.fa	580
AusGEM_00603.fa	156
AusGEM_00604.fa	UC
AusGEM_00605.fa	389
AusGEM_00606.fa	389
AusGEM_00607.fa	51
AusGEM_00608.fa	1291
AusGEM_00609.fa	UC
AusGEM_00610.fa	UC
AusGEM_00611.fa	550
AusGEM_00612.fa	106
AusGEM_00613.fa	UC
AusGEM_00614.fa	124
AusGEM_00615.fa	UC
AusGEM_00616.fa	UC
AusGEM_00617.fa	UC
AusGEM_00619.fa	1073
AusGEM_00620.fa	1073
AusGEM_00621.fa	334
AusGEM_00622.fa	UC
AusGEM_00623.fa	20
AusGEM_00624.fa	UC
AusGEM_00626.fa	550
AusGEM_00627.fa	UC
AusGEM_00628.fa	358
AusGEM_00629.fa	62
AusGEM_00630.fa	UC
AusGEM_00631.fa	339
AusGEM_00632.fa	UC
AusGEM_00633.fa	139
AusGEM_00634.fa	UC
AusGEM_00635.fa	UC
AusGEM_00636.fa	UC
AusGEM_00637.fa	UC
AusGEM_00638.fa	UC
AusGEM_00639.fa	UC
AusGEM_00640.fa	156
AusGEM_00641.fa	UC
AusGEM_00642.fa	UC
AusGEM_00643.fa	UC
AusGEM_00644.fa	UC
AusGEM_00645.fa	145
AusGEM_00646.fa	156
AusGEM_00647.fa	540
AusGEM_00648.fa	UC
AusGEM_00649.fa	UC
AusGEM_00650.fa	695
AusGEM_00651.fa	358
AusGEM_00652.fa	UC
AusGEM_00653.fa	2127
AusGEM_00654.fa	483
AusGEM_00655.fa	156
AusGEM_00656.fa	2127
AusGEM_00658.fa	305
AusGEM_00659.fa	2127
AusGEM_00660.fa	1081
AusGEM_00661.fa	UC
AusGEM_00663.fa	695
AusGEM_00664.fa	156
AusGEM_00665.fa	UC
AusGEM_00666.fa	UC
AusGEM_00667.fa	11
AusGEM_00668.fa	695
AusGEM_00669.fa	UC
AusGEM_00670.fa	11
AusGEM_00671.fa	UC
AusGEM_00672.fa	UC
AusGEM_00674.fa	123
AusGEM_00675.fa	315
AusGEM_00676.fa	UC
AusGEM_00677.fa	UC
AusGEM_00678.fa	123
AusGEM_00679.fa	UC
AusGEM_00680.fa	UC
AusGEM_00681.fa	264
AusGEM_00685.fa	334
AusGEM_00686.fa	2127
AusGEM_00687.fa	UC
AusGEM_00689.fa	UC
AusGEM_00690.fa	UC
AusGEM_00691.fa	334
AusGEM_00692.fa	UC
AusGEM_00694.fa	UC
AusGEM_00696.fa	62
AusGEM_00697.fa	UC
AusGEM_00698.fa	UC
AusGEM_00699.fa	62
AusGEM_00701.fa	245
AusGEM_00702.fa	UC
AusGEM_00703.fa	1015
AusGEM_00704.fa	1015
AusGEM_00705.fa	UC
AusGEM_00706.fa	179
AusGEM_00710.fa	UC
AusGEM_00712.fa	UC
AusGEM_00715.fa	35
AusGEM_00716.fa	82
AusGEM_00717.fa	156
AusGEM_00718.fa	UC
AusGEM_00719.fa	UC
AusGEM_00720.fa	615
AusGEM_00723.fa	305
AusGEM_00724.fa	305
AusGEM_00725.fa	115
AusGEM_00726.fa	UC
AusGEM_00727.fa	46
AusGEM_00729.fa	UC
AusGEM_00730.fa	282
AusGEM_00731.fa	695
AusGEM_00732.fa	UC
AusGEM_00735.fa	UC
AusGEM_00736.fa	132
AusGEM_00737.fa	UC
AusGEM_00739.fa	196
AusGEM_00742.fa	9
AusGEM_00743.fa	74
AusGEM_00744.fa	242
AusGEM_00745.fa	UC
AusGEM_00746.fa	40
AusGEM_00747.fa	69
AusGEM_00750.fa	223
AusGEM_00751.fa	UC
AusGEM_00752.fa	192
AusGEM_00753.fa	1349
AusGEM_00755.fa	8
AusGEM_00756.fa	440
AusGEM_00759.fa	128
AusGEM_00760.fa	20
AusGEM_00761.fa	UC
AusGEM_00763.fa	316
AusGEM_00764.fa	1175
AusGEM_00765.fa	144
AusGEM_00766.fa	UC
AusGEM_00769.fa	UC
AusGEM_00773.fa	UC
AusGEM_00776.fa	36
AusGEM_00777.fa	UC
AusGEM_00779.fa	1113
AusGEM_00781.fa	UC
AusGEM_00782.fa	366
AusGEM_00783.fa	235
AusGEM_00784.fa	180
AusGEM_00785.fa	180
AusGEM_00786.fa	UC
AusGEM_00787.fa	UC
AusGEM_00788.fa	UC
AusGEM_00790.fa	674
AusGEM_00793.fa	UC
AusGEM_00794.fa	UC
AusGEM_00796.fa	263
AusGEM_00797.fa	UC
AusGEM_00798.fa	UC
AusGEM_00799.fa	312
AusGEM_00800.fa	UC
AusGEM_00801.fa	UC
AusGEM_00802.fa	440
AusGEM_00804.fa	UC
AusGEM_00806.fa	UC
AusGEM_00808.fa	46
AusGEM_00810.fa	498
AusGEM_00811.fa	UC
AusGEM_00812.fa	UC
AusGEM_00816.fa	UC
AusGEM_00818.fa	UC
AusGEM_00819.fa	221
AusGEM_00820.fa	UC
AusGEM_00821.fa	UC
AusGEM_00822.fa	UC
AusGEM_00824.fa	UC
AusGEM_00825.fa	86
AusGEM_00826.fa	UC
AusGEM_00827.fa	339
AusGEM_00828.fa	UC
AusGEM_00830.fa	UC
AusGEM_00831.fa	43
AusGEM_00833.fa	17
AusGEM_00834.fa	83
AusGEM_00835.fa	17
AusGEM_00836.fa	21
AusGEM_00837.fa	UC
AusGEM_00838.fa	UC
AusGEM_00839.fa	UC
AusGEM_00840.fa	UC
AusGEM_00841.fa	304
AusGEM_00843.fa	180
AusGEM_00845.fa	UC
AusGEM_00847.fa	252
AusGEM_00848.fa	80
AusGEM_00849.fa	UC
AusGEM_00852.fa	2012
AusGEM_00853.fa	327
AusGEM_00855.fa	UC
AusGEM_00856.fa	327
AusGEM_00857.fa	UC
AusGEM_00858.fa	1409
AusGEM_00859.fa	218
AusGEM_00861.fa	521
AusGEM_00862.fa	342
AusGEM_00863.fa	1409
AusGEM_00864.fa	UC
AusGEM_00865.fa	UC
AusGEM_00866.fa	UC
AusGEM_00868.fa	UC
AusGEM_00869.fa	1409
AusGEM_00870.fa	2318
AusGEM_00871.fa	2318
AusGEM_00872.fa	521
AusGEM_00873.fa	UC
AusGEM_00874.fa	1261
AusGEM_00875.fa	2012
AusGEM_00876.fa	521
AusGEM_00877.fa	1409
AusGEM_00878.fa	521
AusGEM_00879.fa	1261
AusGEM_00880.fa	590
AusGEM_00881.fa	2318
AusGEM_00882.fa	UC
AusGEM_00883.fa	521
AusGEM_00884.fa	UC
AusGEM_00885.fa	UC
AusGEM_00886.fa	218
AusGEM_00888.fa	UC
AusGEM_00889.fa	53
AusGEM_00890.fa	UC
AusGEM_00891.fa	1471
AusGEM_00892.fa	1471
AusGEM_00893.fa	UC
AusGEM_00894.fa	590
AusGEM_00895.fa	UC
AusGEM_00896.fa	1261
AusGEM_00897.fa	928
AusGEM_00898.fa	UC
AusGEM_00899.fa	UC
AusGEM_00900.fa	928
AusGEM_00901.fa	UC
AusGEM_00902.fa	UC
AusGEM_00903.fa	521
AusGEM_00904.fa	521
AusGEM_00905.fa	UC
AusGEM_00906.fa	UC
AusGEM_00907.fa	UC
AusGEM_00908.fa	UC
AusGEM_00909.fa	521
AusGEM_00910.fa	521
AusGEM_00911.fa	521
AusGEM_00912.fa	UC
AusGEM_00913.fa	UC
AusGEM_00914.fa	UC
AusGEM_00915.fa	UC
AusGEM_00916.fa	UC
AusGEM_00917.fa	UC
AusGEM_00918.fa	599
AusGEM_00919.fa	1153
AusGEM_00920.fa	1182
AusGEM_00921.fa	1153
AusGEM_00922.fa	599
AusGEM_00923.fa	802
AusGEM_00924.fa	224
AusGEM_00925.fa	1427
AusGEM_00928.fa	802
AusGEM_00929.fa	UC
AusGEM_00930.fa	UC
AusGEM_00933.fa	756
AusGEM_00934.fa	UC
AusGEM_00935.fa	888
AusGEM_00937.fa	797
AusGEM_00938.fa	UC
AusGEM_00939.fa	1039
AusGEM_00940.fa	350
AusGEM_00941.fa	350
AusGEM_00942.fa	350
AusGEM_00943.fa	UC
AusGEM_00944.fa	1039
AusGEM_00945.fa	1153
AusGEM_00946.fa	UC
AusGEM_00947.fa	UC
AusGEM_00948.fa	UC
AusGEM_00949.fa	1427
AusGEM_00950.fa	343
AusGEM_00951.fa	UC
AusGEM_00952.fa	342
AusGEM_00953.fa	698
AusGEM_00954.fa	UC
AusGEM_00955.fa	599
AusGEM_00956.fa	635
AusGEM_00957.fa	698
AusGEM_00958.fa	UC
AusGEM_00959.fa	UC
AusGEM_00960.fa	419
AusGEM_00961.fa	698
AusGEM_00962.fa	UC
AusGEM_00965.fa	599
AusGEM_00966.fa	666
AusGEM_00968.fa	1250
AusGEM_00969.fa	UC
AusGEM_00970.fa	UC
AusGEM_00971.fa	UC
AusGEM_00972.fa	756
AusGEM_00973.fa	1153
AusGEM_00974.fa	UC
AusGEM_00975.fa	UC
AusGEM_00976.fa	1039
AusGEM_00977.fa	345
AusGEM_00978.fa	279
AusGEM_00979.fa	224
AusGEM_00980.fa	419
AusGEM_00981.fa	888
AusGEM_00982.fa	1039
AusGEM_00983.fa	1427
AusGEM_00984.fa	1039
AusGEM_00985.fa	1182
AusGEM_00986.fa	UC
AusGEM_00987.fa	209
AusGEM_00988.fa	1039
AusGEM_00989.fa	1039
AusGEM_00990.fa	224
AusGEM_00991.fa	UC
AusGEM_00992.fa	1135
AusGEM_00993.fa	UC
AusGEM_00994.fa	666
AusGEM_00995.fa	UC
AusGEM_00996.fa	1182
AusGEM_00997.fa	254
AusGEM_00998.fa	1250
AusGEM_00999.fa	343
AusGEM_01000.fa	UC
AusGEM_01001.fa	1326
AusGEM_01002.fa	888
AusGEM_01004.fa	344
AusGEM_01005.fa	224
AusGEM_01006.fa	224
AusGEM_01008.fa	635
AusGEM_01009.fa	345
AusGEM_01010.fa	UC
AusGEM_01011.fa	1135
AusGEM_01012.fa	348
AusGEM_01013.fa	UC
AusGEM_01014.fa	UC
AusGEM_01015.fa	344
AusGEM_01016.fa	1182
AusGEM_01017.fa	UC
AusGEM_01018.fa	348
AusGEM_01019.fa	UC
AusGEM_01020.fa	1182
AusGEM_01021.fa	1427
AusGEM_01022.fa	888
AusGEM_01023.fa	254
AusGEM_01024.fa	343
AusGEM_01025.fa	1153
AusGEM_01026.fa	209
AusGEM_01027.fa	1153
AusGEM_01029.fa	888
AusGEM_01030.fa	UC
AusGEM_01031.fa	797
AusGEM_01032.fa	217
AusGEM_01033.fa	1182
AusGEM_01034.fa	516
AusGEM_01042.fa	516
AusGEM_01043.fa	516
AusGEM_01044.fa	1307
AusGEM_01045.fa	1307
AusGEM_01046.fa	1307
AusGEM_01047.fa	1307
AusGEM_01048.fa	1307
AusGEM_01050.fa	35
AusGEM_01052.fa	35
AusGEM_01058.fa	723
AusGEM_01060.fa	723
AusGEM_01061.fa	723
AusGEM_01064.fa	723
AusGEM_01066.fa	723
AusGEM_01067.fa	723
AusGEM_01068.fa	723
AusGEM_01069.fa	723
AusGEM_01070.fa	723
AusGEM_01071.fa	723
AusGEM_01072.fa	723
AusGEM_01073.fa	723
AusGEM_01075.fa	723
AusGEM_01076.fa	723
AusGEM_01077.fa	1356
AusGEM_01078.fa	723
AusGEM_01079.fa	UC
AusGEM_01082.fa	UC
AusGEM_01084.fa	723
AusGEM_01085.fa	723
AusGEM_01086.fa	723
AusGEM_01087.fa	723
AusGEM_01088.fa	723
AusGEM_01089.fa	723
AusGEM_01090.fa	723
AusGEM_01091.fa	1356
AusGEM_01092.fa	723
AusGEM_01094.fa	723
AusGEM_01095.fa	UC
AusGEM_01096.fa	UC
AusGEM_01100.fa	UC
AusGEM_01102.fa	UC
AusGEM_01104.fa	UC
AusGEM_01105.fa	UC
AusGEM_01106.fa	UC
AusGEM_01107.fa	UC
AusGEM_01108.fa	1290
AusGEM_01109.fa	UC
AusGEM_01111.fa	UC
AusGEM_01112.fa	UC
AusGEM_01113.fa	10
AusGEM_01114.fa	1349
AusGEM_01116.fa	696
AusGEM_01117.fa	UC
AusGEM_01118.fa	173
AusGEM_01119.fa	UC
AusGEM_01120.fa	UC
AusGEM_01121.fa	339
AusGEM_01122.fa	UC
AusGEM_01124.fa	UC
AusGEM_01125.fa	550
AusGEM_01126.fa	UC
