Sample name	ST (Pending novel allocation)	Source Niche	Source Type	Intestinal_or_Extraintestinal	Collection	State	Biosample (Pending allocations)	IncF RST
ERR5355725	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101037	F1:A2:B20
AUSMDU00015562	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00021652	131	Human	Human	Intestinal	MDU	VIC	NA	F2:A2:B20
AUSMDU00021684	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00016859	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00017100	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011872	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00021640	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00019175	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
ERR5355620	131	Human	Human	Unknown	Enterobase	NA	SAMEA8100932	F1:A2:B20
AUSMDU00009582	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00042379	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011867	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00034353	131	Human	Human	Intestinal	MDU	VIC	NA	F4!/F1!:A2:B20
AUSMDU00011308	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00016169	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00048244	131	Human	Human	Unknown	MDU	VIC	NA	F1:A2:B20
AUSMDU00020499	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00067527	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
ERR5355984	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101296	F1:A2:B20
AUSMDU00015826	131	Human	Human	Extraintestinal	MDU	VIC	NA	F35!/F1!:A2:B20
SRR11341638	131	Wild Animal	Avian	Unknown	Enterobase	SA	SAMN14395269	F29:A-:B10
AUSMDU00017142	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00020278	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00017139	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00015792	131	Human	Human	Intestinal	MDU	VIC	NA	F4!/F1!:A2:B20
AUSMDU00008273	131	Human	Human	Unknown	MDU	VIC	NA	F1:A2:B20
AUSMDU00007857	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AusGEM_00727	131	Companion Animal	Canine	Intestinal	AusGEM	VIC	NA	F1:A2:B20
AusGEM_00339	131	Companion Animal	Canine	Intestinal	AusGEM	VIC	NA	F1:A2:B20
AUSMDU00020390	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AusGEM_00346	131	Companion Animal	Canine	Extraintestinal	AusGEM	VIC	NA	F1:A2:B20
AUSMDU00022084	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
SRR7724822	131	Wild Animal	Avian	Unknown	Enterobase	TAS	SAMN09866833	F-:A-:B-
SRR7724807	131	Wild Animal	Avian	Unknown	Enterobase	TAS	SAMN09866832	F1:A2:B20*
SRR7724608	131	Wild Animal	Avian	Unknown	Enterobase	TAS	SAMN09866847	F1:A2:B20
AUSMDU00017101	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00021636	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00015594	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00019230	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2!/F1!:A2:B20
AUSMDU00019364	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00015689	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00010649	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011310	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2:A2:B20
AUSMDU00017840	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AusGEM_00848	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AUSMDU00023219	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2!/F1!:A2:B20
AUSMDU00019302	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00021890	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00019215	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00019354	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00010600	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00007306	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00019236	10198	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
SRR11608156	131	Companion Animal	Feline	Extraintestinal	Enterobase	NSW	SAMN14686261	F1:A2:B20
ERR5355736	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101048	F1:A2:B20
AUSMDU00034366	131	Human	Human	Intestinal	MDU	VIC	NA	F2!/F1!:A2:B20
AUSMDU00020024	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00019350	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00019353	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011712	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
SRR7828845	131	Human	Human	Extraintestinal	Enterobase	NA	SAMN10058929	F1:A2:B20
AUSMDU00022558	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00016439	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00022405	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00014865	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011378	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00014862	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00023207	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00019370	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00007851	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AusGEM_00505	131	Companion Animal	Canine	Extraintestinal	AusGEM	VIC	NA	F69:A2:B20
SRR11341647	131	Wild Animal	Avian	Unknown	Enterobase	SA	SAMN14395287	F2:A2:B20
AUSMDU00016141	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00048375	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00015601	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00007865	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00032387	131	Human	Human	Unknown	MDU	VIC	NA	F35!/F1!:A2:B20
AUSMDU00011316	131	Human	Human	Intestinal	MDU	VIC	NA	F35!/F1!:A2:B20
AUSMDU00007569	131	Human	Human	Extraintestinal	MDU	VIC	NA	F35!/F1!:A2:B20
SRR7828844	131	Human	Human	Extraintestinal	Enterobase	NA	SAMN10058932	F1:A2:B20
AUSMDU00020089	131	Human	Human	Extraintestinal	MDU	VIC	NA	F35!/F1!:A2:B20
AUSMDU00023316	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00017248	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00022566	131	Human	Human	Intestinal	MDU	VIC	NA	F10!/F1!:A2:B20
AUSMDU00018819	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
ERR5355854	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101165	F1:A2:B20
AUSMDU00022679	131	Human	Human	Intestinal	MDU	VIC	NA	F2!/F1!:A2:B20
SRR11608165	131	Companion Animal	Canine	Extraintestinal	Enterobase	VIC	SAMN14686270	F2!/F1!:A2:B20
SRR11608164	131	Companion Animal	Canine	Extraintestinal	Enterobase	VIC	SAMN14686271	F2!/F1!:A2:B20
AUSMDU00015702	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A6:B20
AUSMDU00022969	131	Human	Human	Extraintestinal	MDU	VIC	NA	F-:A2:B20
AUSMDU00016433	131	Human	Human	Extraintestinal	MDU	VIC	NA	F-:A2:B20
AUSMDU00007334	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00023215	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AusGEM_01533	131	Wild Animal	Avian	Intestinal	AusGEM	NSW	NA	F4!/F1!:A2:B20
ERR5355691	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101003	F1:A2:B20
AUSMDU00015847	131	Human	Human	Extraintestinal	MDU	VIC	NA	F-:A2:B20
AusGEM_01954	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
ERR5355755	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101067	F1:A2:B20
SRR7828713	131	Human	Human	Extraintestinal	Enterobase	NA	SAMN10058883	F1:A2:B20
AUSMDU00015558	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
SRR7724813	131	Wild Animal	Avian	Unknown	Enterobase	WA	SAMN09866826	F1:A2:B20
SRR7724681	131	Wild Animal	Avian	Unknown	Enterobase	WA	SAMN09866823	F1:A2:B20
AusGEM_01941	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
ERR5355729	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101041	F4:A2:B20
AusGEM_01360	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
SRR11608166	131	Companion Animal	Canine	Extraintestinal	Enterobase	QLD	SAMN14686269	F1:A2:B20
AusGEM_01962	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F35!/F1!:A2:B-
ERR5355584	131	Human	Human	Unknown	Enterobase	NA	SAMEA8100896	F1:A2:B20
AusGEM_02024	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AusGEM_01951	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AusGEM_01944	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AusGEM_01948	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B-
AUSMDU00015999	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00011689	131	Human	Human	Intestinal	MDU	VIC	NA	F106!/F1!:A2:B-
SRR11094216	^^52	Human	Human	Extraintestinal	Enterobase	QLD	SAMN14118481	F1:A2:B20
SRR11094214	^^52	Human	Human	Extraintestinal	Enterobase	QLD	SAMN14118483	F1:A2:B20
AusGEM_01977	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AusGEM_01282	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AusGEM_01949	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F-:A2:B20
AusGEM_01947	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AusGEM_01957	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F2:A2:B20
AusGEM_01946	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F95!/F4!/F1!:A2:B20
ERR5355686	131	Human	Human	Unknown	Enterobase	NA	SAMEA8100998	F1:A2*:B20
ERR5355925	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101237	F35*:A2?*:B20
AusGEM_01953	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AUSMDU00022542	131	Human	Human	Intestinal	MDU	VIC	NA	F2:A1:B1
AUSMDU00010644	131	Human	Human	Intestinal	MDU	VIC	NA	F4:A-:B20*
AUSMDU00011862	131	Human	Human	Unknown	MDU	VIC	NA	F1:A2:B20
AUSMDU00005026	131	Human	Human	Unknown	MDU	VIC	NA	F35:A2:B20
SRR11608168	131	Companion Animal	Feline	Extraintestinal	Enterobase	QLD	SAMN14686267	F-:A2:B20
AUSMDU00017426	131	Human	Human	Extraintestinal	MDU	VIC	NA	F35:A-:B-
AUSMDU00015816	131	Human	Human	Extraintestinal	MDU	VIC	NA	F35!/F1!:A2:B-
ERR5355704	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101016	F1:A2:B20
AusGEM_00638	131	Companion Animal	Canine	Extraintestinal	AusGEM	VIC	NA	F1:A2:B20
SRR7724668	131	Wild Animal	Avian	Unknown	Enterobase	WA	SAMN09866800	F10:A2:B20
AUSMDU00020304	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00016636	131	Human	Human	Extraintestinal	MDU	VIC	NA	F29:A2:B10
AUSMDU00015705	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
ERR5355834	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101146	F1:A2:B-
AUSMDU00016175	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00015809	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AusGEM_01978	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AUSMDU00015666	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A6:B20
ERR5355780	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101092	F1:A2:B20
AUSMDU00017120	131	Human	Human	Intestinal	MDU	VIC	NA	F2:A-:B-
SRR7724749	131	Wild Animal	Avian	Unknown	Enterobase	VIC	SAMN09866962	F36:A1:B1
AUSMDU00013816	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2:A2:B20
ERR5355926	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101238	F1:A2:B20
AusGEM_01958	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
AusGEM_01942	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F1:A2:B20
SRR11094230	131	Human	Human	Unknown	Enterobase	QLD	SAMN14118545	F24:A18?*:B1
AUSMDU00022683	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00010654	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
ERR5355923	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101235	F1:A2:B-
AUSMDU00015996	131	Human	Human	Extraintestinal	MDU	VIC	NA	F29:A-:B10
AUSMDU00012379	131	Human	Human	Extraintestinal	MDU	VIC	NA	F29:A-:B10
AUSMDU00019193	131	Human	Human	Extraintestinal	MDU	VIC	NA	F29:A-:B10
AUSMDU00010935	131	Human	Human	Extraintestinal	MDU	VIC	NA	F35!/F29!:A-:B10
AUSMDU00017269	131	Human	Human	Extraintestinal	MDU	VIC	NA	F29:A-:B10
AUSMDU00039343	131	Human	Human	Extraintestinal	MDU	VIC	NA	F29:A-:B10
AUSMDU00034352	131	Human	Human	Extraintestinal	MDU	VIC	NA	F29:A-:B10*
AUSMDU00022919	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2:A-:B10
ERR5355666	131	Human	Human	Unknown	Enterobase	NA	SAMEA8100978	F4:A-:B1
AUSMDU00027042	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2:A-:B-
AUSMDU00019678	131	Human	Human	Intestinal	MDU	VIC	NA	F2:A-:B-
AUSMDU00008004	131	Human	Human	Extraintestinal	MDU	VIC	NA	F24!/F2!:A-:B1
SRR7724623	131	Wild Animal	Avian	Unknown	Enterobase	WA	SAMN09866785	F2:A1:B-
ERR5355599	131	Human	Human	Unknown	Enterobase	NA	SAMEA8100911	F2:A1:B-
AusGEM_00746	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F2:A1:B-
AUSMDU00017096	131	Human	Human	Intestinal	MDU	VIC	NA	F36?:A1:B1
ERR5355772	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101084	F1:A2:B33
AusGEM_01272	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F2:A2:B20
AUSMDU00022557	131	Human	Human	Intestinal	MDU	VIC	NA	F2:A1:B-
AUSMDU00022682	131	Human	Human	Intestinal	MDU	VIC	NA	F2:A1:B-
AUSMDU00015828	131	Human	Human	Intestinal	MDU	VIC	NA	F51:A-:B10
AUSMDU00056202	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00022779	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00020287	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
ERR161261	131	Human	Human	Unknown	Enterobase	ACT	SAMEA1486648	F48:A1:B49
SRR7724658	131	Wild Animal	Avian	Unknown	Enterobase	SA	SAMN09866884	F29!/F2!:A1:B10
AUSMDU00035248	131	Human	Human	Extraintestinal	MDU	VIC	NA	F36?:A6:B20
AUSMDU00008590	131	Human	Human	Extraintestinal	MDU	VIC	NA	F36?:A6:B20
SRR7828753	131	Human	Human	Extraintestinal	Enterobase	NA	SAMN10059029	F36?/C3?*:A6:B20
SRR7828668	131	Human	Human	Extraintestinal	Enterobase	NA	SAMN10058898	F36?/C3?*:A6:B20
SRR7828751	131	Human	Human	Extraintestinal	Enterobase	NA	SAMN10059031	F36?/C3?*:A6:B20
ERR5355600	131	Human	Human	Unknown	Enterobase	NA	SAMEA8100912	F36?:A1:B20
AUSMDU00020094	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00016952	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00020385	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00060808	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00017776	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00013444	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00034031	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00067243	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A1:B16
AUSMDU00065919	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2!/F1!:A1:B16
AUSMDU00008406	131	Human	Human	Extraintestinal	MDU	VIC	NA	F4!/F1!:A1:B16
AusGEM_01225	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F48:A1:B49
AusGEM_01377	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36!/F22!:A1:B20
AusGEM_01918	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36?/C3?*:A1:B20
AusGEM_01935	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F22:A1:B20
AusGEM_01928	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36?/C3?*:A1:B20
AusGEM_01900	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36?/C3?*:A1:B20
AusGEM_01899	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36:A1:B20
AusGEM_01932	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36:A1:B20
AusGEM_01938	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36?/C3?*:A1:B20
AusGEM_01920	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36?/C3?*:A1:B20
AusGEM_01929	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36?/C3?*:A1:B20
AusGEM_01921	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F22:A1:B20
AusGEM_01934	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36?/C3?*:A1:B20
AusGEM_02005	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F36:A1:B20
AUSMDU00034355	131	Human	Human	Intestinal	MDU	VIC	NA	F88!/F1!:A2:B20
AUSMDU00010576	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00063653	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2:A2:B20
AUSMDU00014720	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00010578	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00023162	131	Human	Human	Extraintestinal	MDU	VIC	NA	F48:A1:B49
ERR5355846	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101157	F1:A2:B20
AUSMDU00019345	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011366	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00015764	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00010601	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00034354	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00019235	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00019217	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00017844	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00015749	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00007445	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2!/F1!:A2:B20
AUSMDU00015271	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00007438	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00010674	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2!/F1!:A2:B20
AUSMDU00017429	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2!/F1!:A2:B20
AUSMDU00070156	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00026534	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00014854	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2!/F1!:A2:B20
AUSMDU00010591	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00008422	131	Human	Human	Intestinal	MDU	VIC	NA	F51!/F1!:A2:B20
SRR11094210	131	Human	Human	Extraintestinal	Enterobase	QLD	SAMN14118487	F1:A2:B20
AUSMDU00046788	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00070166	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AusGEM_02019	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F2:A1:B-
AusGEM_02017	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F2:A1:B-
AusGEM_02009	131	Human	Human	Extraintestinal	AusGEM	NSW	NA	F2:A1:B-
AUSMDU00021866	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00038476	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2:A1:B16
