sample_name	Source_id	Source_Level1	Source_Level2	Source_Level3	HHID	Date	Sublocation	Wealth_group	Livestock_yn	ID	EntBase_ST	Phylogroup	Accession
ALQ017407	HAR010GAL3	chickens	poultry	livestock	HAR010	6/10/2015	HARAMBEE	3	yes	ALQ017407	5766	A	ERS3414691 (SAMEA5610501) 
ALQ017413	HAR010GAL5	chickens	poultry	livestock	HAR010	6/10/2015	HARAMBEE	3	yes	ALQ017413	155	B1	ERS3414692 (SAMEA5610502) 
ALQ017443	HAR010AVN1	avian	w_avian	wildlife	HAR010	6/10/2015	HARAMBEE	3	yes	ALQ017443	6190	B1	ERS3414693 (SAMEA5610503) 
ALQ017456	MAK016GAL5	chickens	poultry	livestock	MAK016	26/10/2015	MAKONGENI	6	yes	ALQ017456	182	E	ERS3414694 (SAMEA5610504) 
ALQ018502	MAK017AVN9	avian	w_avian	wildlife	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ018502	2325	A	ERS3414696 (SAMEA5610506) 
ALQ018557	KIG019CAP6	goat	ruminant	livestock	KIG019	2/11/2015	KIRIGU	6	yes	ALQ018557	13	B1	ERS3414698 (SAMEA5610508) 
ALQ018577	KIG019GAL3	chickens	poultry	livestock	KIG019	2/11/2015	KIRIGU	6	yes	ALQ018577	48	A	ERS3414699 (SAMEA5610509) 
ALQ018583	KIG019CAP2	goat	ruminant	livestock	KIG019	2/11/2015	KIRIGU	6	yes	ALQ018583	40	B1	ERS3414700 (SAMEA5610510) 
ALQ018624	MBO014GAL4	chickens	poultry	livestock	MBO014	12/10/2015	MBOTELA	5	yes	ALQ018624	1141	A	ERS3414701 (SAMEA5610511) 
ALQ018627	MBO014GAL3	chickens	poultry	livestock	MBO014	12/10/2015	MBOTELA	5	yes	ALQ018627	4937	A	ERS3414702 (SAMEA5610512) 
ALQ018643	MBO014ANA3	ducks	poultry	livestock	MBO014	12/10/2015	MBOTELA	5	yes	ALQ018643	6636	D	ERS3414703 (SAMEA5610513) 
ALQ018670	MBO014ANA4	ducks	poultry	livestock	MBO014	12/10/2015	MBOTELA	5	yes	ALQ018670	398	A	ERS3414704 (SAMEA5610514) 
ALQ018686	MBO014ANA5	ducks	poultry	livestock	MBO014	12/10/2015	MBOTELA	5	yes	ALQ018686	9430	A	ERS3414705 (SAMEA5610515) 
ALQ018703	MBO014ANA2	ducks	poultry	livestock	MBO014	12/10/2015	MBOTELA	5	yes	ALQ018703	453	B1	ERS3414706 (SAMEA5610516) 
ALQ018751	MBO013CAP3	goat	ruminant	livestock	MBO013	13/10/2015	MBOTELA	5	yes	ALQ018751	448	B1	ERS3414708 (SAMEA5610518) 
ALQ018756	MBO013CAP5	goat	ruminant	livestock	MBO013	13/10/2015	MBOTELA	5	yes	ALQ018756	446	B1	ERS3414709 (SAMEA5610519) 
ALQ018852	MBO015AVN1	avian	w_avian	wildlife	MBO015	13/10/2015	MBOTELA	5	no	ALQ018852	641	B1	ERS3414711 (SAMEA5610521) 
ALQ018881	MAK017GAL5	chickens	poultry	livestock	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ018881	2309	D	ERS3414712 (SAMEA5610522) 
ALQ018899	MAK016GAL6	chickens	poultry	livestock	MAK016	26/10/2015	MAKONGENI	6	yes	ALQ018899	10	A	ERS3414714 (SAMEA5610524) 
ALQ018914	MAK017GAL6	chickens	poultry	livestock	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ018914	9434	Unknown	ERS3414715 (SAMEA5610525) 
ALQ018940	MAK017GAL7	chickens	poultry	livestock	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ018940	398	A	ERS3414716 (SAMEA5610526) 
ALQ018943	MAK017AVN8	avian	w_avian	wildlife	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ018943	187	B1	ERS3414717 (SAMEA5610527) 
ALQ018965	MAK017LAG4	rabbit	monogastric	livestock	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ018965	9429	B1	ERS3414719 (SAMEA5610529) 
ALQ018998	MAK016ROD1	rodent	w_mammal	wildlife	MAK016	26/10/2015	MAKONGENI	6	yes	ALQ018998	1298	B1	ERS3414721 (SAMEA5610531) 
ALQ019005	MAK017GAL8	chickens	poultry	livestock	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ019005	2309	D	ERS3414722 (SAMEA5610532) 
ALQ019065	KIG019CAP3	goat	ruminant	livestock	KIG019	2/11/2015	KIRIGU	6	yes	ALQ019065	223	B1	ERS3414723 (SAMEA5610533) 
ALQ019080	KIL041ANA4	geese	poultry	livestock	KIL041	8/3/2016	KILIMANI	2	yes	ALQ019080	6740	A	ERS3414724 (SAMEA5610534) 
ALQ019097	MAK017ROD2	rodent	w_mammal	wildlife	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ019097	7020	B1	ERS3414725 (SAMEA5610535) 
ALQ019107	MAK017GAL9	chickens	poultry	livestock	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ019107	9434	Unknown	ERS3414726 (SAMEA5610536) 
ALQ019122	MAK017GAL4	chickens	poultry	livestock	MAK017	27/10/2015	MAKONGENI	6	yes	ALQ019122	155	B1	ERS3414727 (SAMEA5610537) 
ALQ019137	KIL041LAG1	rabbit	monogastric	livestock	KIL041	8/3/2016	KILIMANI	2	yes	ALQ019137	6060	E	ERS3414728 (SAMEA5610538) 
ALQ019153	KIL041ANA2	ducks	poultry	livestock	KIL041	8/3/2016	KILIMANI	2	yes	ALQ019153	617	A	ERS3414729 (SAMEA5610539) 
ALQ019167	KIL042AVN4	avian	w_avian	wildlife	KIL042	9/3/2016	KILIMANI	2	yes	ALQ019167	48	A	ERS3414730 (SAMEA5610540) 
ALQ019267	KIG020GAL3	chickens	poultry	livestock	KIG020	3/11/2015	KIRIGU	6	yes	ALQ019267	77	A	ERS3414731 (SAMEA5610541) 
ALQ019365	KIG019CAP1	goat	ruminant	livestock	KIG019	2/11/2015	KIRIGU	6	yes	ALQ019365	9433	B1	ERS3414732 (SAMEA5610542) 
ALQ019375	KIG019GAL4	chickens	poultry	livestock	KIG019	2/11/2015	KIRIGU	6	yes	ALQ019375	4937	A	ERS3414733 (SAMEA5610543) 
ALQ019380	KIG019CAP7	goat	ruminant	livestock	KIG019	2/11/2015	KIRIGU	6	yes	ALQ019380	223	B1	ERS3414734 (SAMEA5610544) 
ALQ019429	KIG019BT_POP4	bat_pop	w_bat	wildlife	KIG019	2/11/2015	KIRIGU	6	yes	ALQ019429	48	A	ERS3414735 (SAMEA5610545) 
ALQ019463	KIL041LAG2	rabbit	monogastric	livestock	KIL041	8/3/2016	KILIMANI	2	yes	ALQ019463	48	A	ERS3414736 (SAMEA5610546) 
ALQ019471	MLK024GAL2	chickens	poultry	livestock	MLK024	11/11/2015	MLANGO KUBWA	7	yes	ALQ019471	10	A	ERS3414737 (SAMEA5610547) 
ALQ019476	MLK024ROD1	rodent	w_mammal	wildlife	MLK024	11/11/2015	MLANGO KUBWA	7	yes	ALQ019476	7809	cladeI	ERS3414738 (SAMEA5610548) 
ALQ019495	MLK024HUM4	human	human	human	MLK024	11/11/2015	MLANGO KUBWA	7	yes	ALQ019495	58	B1	ERS3414741 (SAMEA5610551) 
ALQ019499	MLK024GAL1	chickens	poultry	livestock	MLK024	11/11/2015	MLANGO KUBWA	7	yes	ALQ019499	9432	B1	ERS3414742 (SAMEA5610552) 
ALQ019508	MLK023ROD5	rodent	w_mammal	wildlife	MLK023	10/11/2015	MLANGO KUBWA	7	yes	ALQ019508	540	A	ERS3414743 (SAMEA5610553) 
ALQ019512	MLK024GAL3	chickens	poultry	livestock	MLK024	11/11/2015	MLANGO KUBWA	7	yes	ALQ019512	1688	A	ERS3414744 (SAMEA5610554) 
ALQ019519	MLK024ANA1	ducks	poultry	livestock	MLK024	11/11/2015	MLANGO KUBWA	7	yes	ALQ019519	3856	A	ERS3414745 (SAMEA5610555) 
ALQ019529	MLK023AVN3	avian	w_avian	wildlife	MLK023	10/11/2015	MLANGO KUBWA	7	yes	ALQ019529	9431	A	ERS3414746 (SAMEA5610556) 
ALQ019539	MLK023AVN4	avian	w_avian	wildlife	MLK023	10/11/2015	MLANGO KUBWA	7	yes	ALQ019539	1298	B1	ERS3414747 (SAMEA5610557) 
ALQ019542	KIG021HUM1	human	human	human	KIG021	3/11/2015	KIRIGU	6	no	ALQ019542	216	A	ERS3414748 (SAMEA5610558) 
ALQ019547	MLK024HUM7	human	human	human	MLK024	11/11/2015	MLANGO KUBWA	7	yes	ALQ019547	678	B1	ERS3414749 (SAMEA5610559) 
ALQ019554	MLK024HUM6	human	human	human	MLK024	11/11/2015	MLANGO KUBWA	7	yes	ALQ019554	678	B1	ERS3414750 (SAMEA5610560) 
ALQ019581	KYL025HUM5	human	human	human	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019581	206	A	ERS3414751 (SAMEA5610561) 
ALQ019585	KYL025HUM4	human	human	human	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019585	452	B2	ERS3414752 (SAMEA5610562) 
ALQ019592	KYL025HUM6	human	human	human	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019592	216	A	ERS3414753 (SAMEA5610563) 
ALQ019596	KYL025HUM8	human	human	human	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019596	10	A	ERS3414754 (SAMEA5610564) 
ALQ019604	KYL025HUM9	human	human	human	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019604	34	A	ERS3414755 (SAMEA5610565) 
ALQ019610	KYL025HUM7	human	human	human	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019610	2936	A	ERS3414756 (SAMEA5610566) 
ALQ019622	KYL025CAP1	goat	ruminant	livestock	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019622	9436	A	ERS3414757 (SAMEA5610567) 
ALQ019628	KYL025BOV1	bovine	ruminant	livestock	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019628	1954	A	ERS3414758 (SAMEA5610568) 
ALQ019632	KYL025CAP4	goat	ruminant	livestock	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019632	2728	B1	ERS3414759 (SAMEA5610569) 
ALQ019637	KYL025CAP2	goat	ruminant	livestock	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019637	5334	A	ERS3414760 (SAMEA5610570) 
ALQ019645	KYL025ANA2	ducks	poultry	livestock	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019645	193	A	ERS3414761 (SAMEA5610571) 
ALQ019653	KYL025AVN2	avian	w_avian	wildlife	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019653	616	B1	ERS3414762 (SAMEA5610572) 
ALQ019660	KYL025HUM1	human	human	human	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019660	165	A	ERS3414763 (SAMEA5610573) 
ALQ019662	KYL025HUM3	human	human	human	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019662	155	B1	ERS3414764 (SAMEA5610574) 
ALQ019690	KYL025AVN4	avian	w_avian	wildlife	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019690	1444	B2	ERS3414765 (SAMEA5610575) 
ALQ019694	KYL027HUM1	human	human	human	KYL027	17/11/2015	KAYOLE	6	no	ALQ019694	4623	B1	ERS3414766 (SAMEA5610576) 
ALQ019705	KYL027HUM3	human	human	human	KYL027	17/11/2015	KAYOLE	6	no	ALQ019705	2351	B1	ERS3414767 (SAMEA5610577) 
ALQ019710	KYL027HUM2	human	human	human	KYL027	17/11/2015	KAYOLE	6	no	ALQ019710	23	C	ERS3414768 (SAMEA5610578) 
ALQ019728	KYL025AVN1	avian	w_avian	wildlife	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019728	9438	D	ERS3414769 (SAMEA5610579) 
ALQ019735	KYL025AVN3	avian	w_avian	wildlife	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019735	616	B1	ERS3414770 (SAMEA5610580) 
ALQ019749	KYL027HUM4	human	human	human	KYL027	17/11/2015	KAYOLE	6	no	ALQ019749	2351	B1	ERS3414771 (SAMEA5610581) 
ALQ019759	KYLxxxROD1	rodent	w_mammal	wildlife	KYLxxx	NA	NA	NA	NA	ALQ019759	906	B1	ERS3414773 (SAMEA5610583) 
ALQ019771	KYL025CAP3	goat	ruminant	livestock	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019771	207	A	ERS3414774 (SAMEA5610584) 
ALQ019778	KYL025CAP9	goat	ruminant	livestock	KYL025	16/11/2015	KAYOLE	6	yes	ALQ019778	442	B1	ERS3414775 (SAMEA5610585) 
ALQ019794	KYL027AVN6	avian	w_avian	wildlife	KYL027	17/11/2015	KAYOLE	6	no	ALQ019794	361	A	ERS3414776 (SAMEA5610586) 
ALQ019802	KYL027AVN2	avian	w_avian	wildlife	KYL027	17/11/2015	KAYOLE	6	no	ALQ019802	2792	E	ERS3414777 (SAMEA5610587) 
ALQ019809	UTH029GAL2	chickens	poultry	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ019809	9443	B1	ERS3414778 (SAMEA5610588) 
ALQ019817	UTH029AVN3	avian	w_avian	wildlife	UTH029	2/12/2015	UTHIRU	6	yes	ALQ019817	297	B1	ERS3414779 (SAMEA5610589) 
ALQ019823	UTH028BAT1	bat	w_bat	wildlife	UTH028	30/11/2015	UTHIRU	6	yes	ALQ019823	110	B2	ERS3414780 (SAMEA5610590) 
ALQ019828	UTH029GAL4	chickens	poultry	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ019828	361	A	ERS3414781 (SAMEA5610591) 
ALQ019832	UTH029HUM2	human	human	human	UTH029	2/12/2015	UTHIRU	6	yes	ALQ019832	48	A	ERS3414782 (SAMEA5610592) 
ALQ019848	KYL026SUI2	pig	monogastric	livestock	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019848	641	B1	ERS3414785 (SAMEA5610595) 
ALQ019851	KYL026GAL2	chickens	poultry	livestock	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019851	10	A	ERS3414786 (SAMEA5610596) 
ALQ019860	KYL026GAL3	chickens	poultry	livestock	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019860	155	B1	ERS3414787 (SAMEA5610597) 
ALQ019866	KYL026GAL6	chickens	poultry	livestock	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019866	9442	B1	ERS3414788 (SAMEA5610598) 
ALQ019870	KYL026GAL1	chickens	poultry	livestock	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019870	2522	B1	ERS3414789 (SAMEA5610599) 
ALQ019875	KYL026SUI4	pig	monogastric	livestock	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019875	6833	A	ERS3414790 (SAMEA5610600) 
ALQ019883	KYL026ROD1	rodent	w_mammal	wildlife	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019883	9441	B1	ERS3414791 (SAMEA5610601) 
ALQ019897	KYL026AVN5	avian	w_avian	wildlife	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019897	9440	A	ERS3414792 (SAMEA5610602) 
ALQ019899	KYL026AVN9	avian	w_avian	wildlife	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019899	58	B1	ERS3414793 (SAMEA5610603) 
ALQ019911	KYL026HUM2	human	human	human	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019911	10	A	ERS3414794 (SAMEA5610604) 
ALQ019939	KYL026GAL7	chickens	poultry	livestock	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019939	349	D	ERS3414797 (SAMEA5610607) 
ALQ019942	KYL026SUI5	pig	monogastric	livestock	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019942	218	A	ERS3414798 (SAMEA5610608) 
ALQ019947	KYL026SUI3	pig	monogastric	livestock	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019947	13	B1	ERS3414799 (SAMEA5610609) 
ALQ019961	KYL026ROD4	rodent	w_mammal	wildlife	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019961	8149	A	ERS3414800 (SAMEA5610610) 
ALQ019966	KYL026ROD3	rodent	w_mammal	wildlife	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019966	9439	A	ERS3414801 (SAMEA5610611) 
ALQ019971	KYL026AV_POP4	av_pop	w_avian	wildlife	KYL026	24/11/2015	KAYOLE	6	yes	ALQ019971	10	A	ERS3414802 (SAMEA5610612) 
ALQ019980	UTH028HUM1	human	human	human	UTH028	30/11/2015	UTHIRU	6	yes	ALQ019980	10	A	ERS3414803 (SAMEA5610613) 
ALQ019985	UTH028HUM4	human	human	human	UTH028	30/11/2015	UTHIRU	6	yes	ALQ019985	708	B1	ERS3414804 (SAMEA5610614) 
ALQ020003	KYL026AVN7	avian	w_avian	wildlife	KYL026	24/11/2015	KAYOLE	6	yes	ALQ020003	3288	A	ERS3414806 (SAMEA5610616) 
ALQ020007	KYL026AVN11	avian	w_avian	wildlife	KYL026	24/11/2015	KAYOLE	6	yes	ALQ020007	710	A	ERS3414807 (SAMEA5610617) 
ALQ020013	UTH028HUM7	human	human	human	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020013	10	A	ERS3414808 (SAMEA5610618) 
ALQ020022	UTH028HUM3	human	human	human	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020022	10	A	ERS3414809 (SAMEA5610619) 
ALQ020028	UTH028HUM5	human	human	human	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020028	10	A	ERS3414810 (SAMEA5610620) 
ALQ020035	UTH028HUM6	human	human	human	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020035	1286	A	ERS3414811 (SAMEA5610621) 
ALQ020041	KYL026HUM3	human	human	human	KYL026	24/11/2015	KAYOLE	6	yes	ALQ020041	452	B2	ERS3414812 (SAMEA5610622) 
ALQ020044	KYL026HUM1	human	human	human	KYL026	24/11/2015	KAYOLE	6	yes	ALQ020044	452	B2	ERS3414813 (SAMEA5610623) 
ALQ020065	UTH028BOV1	bovine	ruminant	livestock	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020065	1726	B1	ERS3414814 (SAMEA5610624) 
ALQ020070	UTH028AVN2	avian	w_avian	wildlife	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020070	6633	F	ERS3414815 (SAMEA5610625) 
ALQ020076	UTH028BOV2	bovine	ruminant	livestock	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020076	155	B1	ERS3414816 (SAMEA5610626) 
ALQ020080	UTH028BOV4	bovine	ruminant	livestock	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020080	679	B1	ERS3414817 (SAMEA5610627) 
ALQ020088	UTH028BOV7	bovine	ruminant	livestock	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020088	101	B1	ERS3414818 (SAMEA5610628) 
ALQ020094	UTH028BOV5	bovine	ruminant	livestock	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020094	441	B1	ERS3414819 (SAMEA5610629) 
ALQ020101	UTH028BOV6	bovine	ruminant	livestock	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020101	9445	A	ERS3414820 (SAMEA5610630) 
ALQ020107	UTH028BOV3	bovine	ruminant	livestock	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020107	9444	A	ERS3414821 (SAMEA5610631) 
ALQ020112	UTH028HUM2	human	human	human	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020112	3877	A	ERS3414822 (SAMEA5610632) 
ALQ020131	UTH030HUM4	human	human	human	UTH030	1/12/2015	UTHIRU	6	no	ALQ020131	1629	E	ERS3414824 (SAMEA5610634) 
ALQ020141	UTH030HUM5	human	human	human	UTH030	1/12/2015	UTHIRU	6	no	ALQ020141	23	C	ERS3414825 (SAMEA5610635) 
ALQ020147	UTH030HUM2	human	human	human	UTH030	1/12/2015	UTHIRU	6	no	ALQ020147	1011	D	ERS3414826 (SAMEA5610636) 
ALQ020153	UTH028AVN4	avian	w_avian	wildlife	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020153	6186	B1	ERS3414827 (SAMEA5610637) 
ALQ020159	UTH030AVN1	avian	w_avian	wildlife	UTH030	1/12/2015	UTHIRU	6	no	ALQ020159	1204	D	ERS3414828 (SAMEA5610638) 
ALQ020166	UTH028AVN8	avian	w_avian	wildlife	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020166	2521	B1	ERS3414829 (SAMEA5610639) 
ALQ020172	UTH029ROD1	rodent	w_mammal	wildlife	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020172	1079	B1	ERS3414830 (SAMEA5610640) 
ALQ020194	UTH029HUM4	human	human	human	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020194	155	B1	ERS3414833 (SAMEA5610643) 
ALQ020200	UTH029HUM1	human	human	human	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020200	40	B1	ERS3414834 (SAMEA5610644) 
ALQ020203	UTH029CAP5	goat	ruminant	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020203	156	B1	ERS3414835 (SAMEA5610645) 
ALQ020209	UTH029CAP2	goat	ruminant	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020209	1079	B1	ERS3414836 (SAMEA5610646) 
ALQ020217	UTH029CAP3	goat	ruminant	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020217	9448	E	ERS3414837 (SAMEA5610647) 
ALQ020221	UTH029CAP4	goat	ruminant	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020221	10	A	ERS3414838 (SAMEA5610648) 
ALQ020402	UTH029HUM3	human	human	human	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020402	156	B1	ERS3414840 (SAMEA5610650) 
ALQ020410	UTH029GAL3	chickens	poultry	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020410	88	C	ERS3414841 (SAMEA5610651) 
ALQ020412	UTH029ROD2	rodent	w_mammal	wildlife	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020412	101	B1	ERS3414842 (SAMEA5610652) 
ALQ020420	UTH028ROD1	rodent	w_mammal	wildlife	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020420	4578	B1	ERS3414843 (SAMEA5610653) 
ALQ020424	UTH029ROD3	rodent	w_mammal	wildlife	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020424	9442	B1	ERS3414844 (SAMEA5610654) 
ALQ020433	UTH030HUM3	human	human	human	UTH030	1/12/2015	UTHIRU	6	no	ALQ020433	40	B1	ERS3414845 (SAMEA5610655) 
ALQ020439	UTH028AVN7	avian	w_avian	wildlife	UTH028	30/11/2015	UTHIRU	6	yes	ALQ020439	93	A	ERS3414846 (SAMEA5610656) 
ALQ020444	UTH030AVN2	avian	w_avian	wildlife	UTH030	1/12/2015	UTHIRU	6	no	ALQ020444	165	A	ERS3414847 (SAMEA5610657) 
ALQ020449	UTH029GAL1	chickens	poultry	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020449	23	C	ERS3414848 (SAMEA5610658) 
ALQ020457	UTH029CAP6	goat	ruminant	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020457	1079	B1	ERS3414849 (SAMEA5610659) 
ALQ020462	UTH029CAP1	goat	ruminant	livestock	UTH029	2/12/2015	UTHIRU	6	yes	ALQ020462	7324	B1	ERS3414850 (SAMEA5610660) 
ALQ020467	MAKBATBT_POP4	bat_pop	w_bat	wildlife	MAKBAT	NA	NA	NA	NA	ALQ020467	10	A	ERS3414851 (SAMEA5610661) 
ALQ023111	KAS061ROD1	rodent	w_mammal	wildlife	KAS061	16/5/2016	KASARANI	5	yes	ALQ023111	372	B2	ERS3414854 (SAMEA5610664) 
ALQ023128	KAS063HUM3	human	human	human	KAS063	18/5/2016	KASARANI	5	yes	ALQ023128	9447	A	ERS3414856 (SAMEA5610666) 
ALQ023140	KAS063HUM2	human	human	human	KAS063	18/5/2016	KASARANI	5	yes	ALQ023140	4741	A	ERS3414857 (SAMEA5610667) 
ALQ023151	KAS063HUM1	human	human	human	KAS063	18/5/2016	KASARANI	5	yes	ALQ023151	1288	A	ERS3414858 (SAMEA5610668) 
ALQ023158	KAS063CAP2	goat	ruminant	livestock	KAS063	18/5/2016	KASARANI	5	yes	ALQ023158	101	B1	ERS3414859 (SAMEA5610669) 
ALQ023166	KAS063CAP4	goat	ruminant	livestock	KAS063	18/5/2016	KASARANI	5	yes	ALQ023166	8984	B1	ERS3414860 (SAMEA5610670) 
ALQ023169	KAS063GAL2	chickens	poultry	livestock	KAS063	18/5/2016	KASARANI	5	yes	ALQ023169	1727	B1	ERS3414861 (SAMEA5610671) 
