Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Path/Nonpath	Serological Group	Serotype	EcoR Cluster	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	O Antigen(Serotype Prediction)	H Antigen(Serotype Prediction)	ST(Achtman 7 Gene MLST)	ST Complex(Achtman 7 Gene MLST)	Lineage(Achtman 7 Gene MLST)	Subspecies(Achtman 7 Gene MLST)	Status(Assembly stats)	Coverage(Assembly stats)	N50(Assembly stats)	Length(Assembly stats)	Species(Assembly stats)	Contig Number(>=200 bp)(Assembly stats)	Low Quality Bases(Assembly stats)	Version(Assembly stats)	Assembly barcode(Assembly stats)	ST(wgMLST)	ST(cgMLST V1 + HierCC V1)	HC0 (indistinguishable)(cgMLST V1 + HierCC V1)	HC2(cgMLST V1 + HierCC V1)	HC5(cgMLST V1 + HierCC V1)	HC10(cgMLST V1 + HierCC V1)	HC20(cgMLST V1 + HierCC V1)	HC50(cgMLST V1 + HierCC V1)	HC100(cgMLST V1 + HierCC V1)	HC200(cgMLST V1 + HierCC V1)	HC400(cgMLST V1 + HierCC V1)	HC1100 (cgST Cplx)(cgMLST V1 + HierCC V1)	HC1500(cgMLST V1 + HierCC V1)	HC2000(cgMLST V1 + HierCC V1)	HC2350 (subsp.)(cgMLST V1 + HierCC V1)	Clermont Type (ClermonTyping)(Phylotypes)	Clermont Type (EzClermont)(Phylotypes)	fimH (fimTyper)(Phylotypes)	Pathovar(Phylotypes)	Stx1(Phylotypes)	Stx2(Phylotypes)	ipaH(Phylotypes)	pInv(Phylotypes)	ST(Phylotypes)	LT(Phylotypes)	eae(Phylotypes)	rST(rMLST)	Species (rMLST)(rMLST)
ESC_MA7293AA	TWAG1995	ERR3330611;ILLUMINA;Paired;350;ERX3355326;SRA	Human	Human	human	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612116	ERS3416304	2019-05-30	2019-05-20	ESC_MA7293AA	O18	H7	1463	ND	ND	ND	Assembled	79	261120	4866841	Escherichia coli / Shigella;100.0%	85	15872	4	ESC_ZA6232AA_AS	108779	97754	97754	97754	97754	97754	97754	97754	94391	4557	86	86	5	2	1	B1	B1	fimH31	-	-	-	-	-	-	-	-	1493	Escherichia coli
ESC_MA7294AA	TWAG1985	ERR3330610;ILLUMINA;Paired;350;ERX3355325;SRA	Human	Human	human	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612115	ERS3416303	2019-05-30	2019-05-20	ESC_MA7294AA	O112	H4	8818	ST10 Cplx	A	ND	Assembled	70	194456	4855750	Escherichia coli / Shigella;97.14%	107	19000	4	ESC_ZA6231AA_AS	108768	97768	97768	97768	97768	97768	97768	97768	97768	83103	3635	13	5	2	1	A	A	*	-	-	-	-	-	-	-	-	29375	Escherichia/Shigella sp.
ESC_MA7295AA	TWAG1982	ERR3330609;ILLUMINA;Paired;350;ERX3355324;SRA	Wild Animal	Rodent	rodent	2016	9	20		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612114	ERS3416302	2019-05-30	2019-05-20	ESC_MA7295AA	O183	H18	657	ND	ABD	ND	Assembled	80	345862	4902673	Escherichia coli / Shigella;100.0%	42	8497	4	ESC_ZA6230AA_AS	108780	97757	97757	97757	97757	97757	97757	97757	97757	3527	3527	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	112871	Escherichia/Shigella sp.
ESC_MA7296AA	TWAG1974	ERR3330608;ILLUMINA;Paired;350;ERX3355323;SRA	ND	Avian	avian	2016	9	21		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612113	ERS3416301	2019-05-30	2019-05-20	ESC_MA7296AA	D3 or O124	H11	48	ST10 Cplx	A	ND	Assembled	98	131204	4612523	Escherichia coli / Shigella;95.23%	146	21389	4	ESC_ZA6229AA_AS	108789	97766	97766	97766	97766	97766	97766	97766	97766	32529	4558	13	5	2	1	A	A	*	-	-	-	-	-	-	-	-	33297	Escherichia/Shigella sp.
ESC_MA7297AA	TWAG1967	ERR3330607;ILLUMINA;Paired;350;ERX3355322;SRA	ND	Avian	avian	2016	9	20		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612112	ERS3416300	2019-05-30	2019-05-20	ESC_MA7297AA	-	H28	2351	ST205 Cplx	ND	ND	Assembled	90	251551	4639793	Escherichia coli / Shigella;98.33%	82	10130	4	ESC_ZA6228AA_AS	108773	97756	97756	97756	97756	97756	97756	97756	97756	13801	13801	96	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	2226	Escherichia coli
ESC_MA7298AA	TWAG1962	ERR3330606;ILLUMINA;Paired;350;ERX3355321;SRA	Wild Animal	Rodent	rodent	2016	9	13		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612111	ERS3416299	2019-05-30	2019-05-20	ESC_MA7298AA	-	H10	2705	ND	A	ND	Assembled	96	209158	4803377	Escherichia coli / Shigella;93.65%	129	27050	4	ESC_ZA6227AA_AS	108777	97762	97762	97762	97762	97762	97762	33817	7920	7476	7359	7359	5	2	1	A	A	fimH23	-	-	-	-	-	-	-	-	146531	Escherichia coli
ESC_MA7299AA	TWAG1958	ERR3330605;ILLUMINA;Paired;350;ERX3355320;SRA	Human	Human	human	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612110	ERS3416298	2019-05-30	2019-05-20	ESC_MA7299AA	O65	H16	9562	ST155 Cplx	ND	ND	Assembled	82	217850	4870359	Escherichia coli / Shigella;100.0%	110	14469	4	ESC_ZA6226AA_AS	108782	97761	97761	97761	97761	97761	97761	97761	97207	1060	106	106	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	1601	Escherichia coli
ESC_MA7300AA	TWAG1953	ERR3330604;ILLUMINA;Paired;350;ERX3355319;SRA	Environment	Environment	household environment	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612109	ERS3416297	2019-05-30	2019-05-20	ESC_MA7300AA	-	H32	9563	ST10 Cplx	A	ND	Assembled	88	126812	4724270	Escherichia coli / Shigella;96.05%	121	14521	4	ESC_ZA6225AA_AS	108776	97769	97769	97769	97769	97769	97769	97769	96981	96981	4938	13	5	2	1	A	A	fimH23	-	-	-	-	-	-	-	-	29540	Escherichia/Shigella sp.
ESC_MA7301AA	TWAG1944	ERR3330603;ILLUMINA;Paired;350;ERX3355318;SRA	Environment	Environment	pens	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612108	ERS3416296	2019-05-30	2019-05-20	ESC_MA7301AA	B9	H10	2705	ND	A	ND	Assembled	126	223249	4753067	Escherichia coli / Shigella;90.03%	106	15789	4	ESC_ZA6224AA_AS	108783	97764	97764	97764	97764	97764	97764	97764	97764	7476	7359	7359	5	2	1	A	A	fimH23	-	-	-	-	-	-	-	-	1743	Escherichia coli
ESC_MA7302AA	TWAG1941	ERR3330602;ILLUMINA;Paired;350;ERX3355317;SRA	Environment	Environment	doorknob	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612107	ERS3416295	2019-05-30	2019-05-20	ESC_MA7302AA	B9	H10	2705	ND	A	ND	Assembled	71	223113	4752791	Escherichia coli / Shigella;90.74%	109	18747	4	ESC_ZA6223AA_AS	108786	97764	97764	97764	97764	97764	97764	97764	97764	7476	7359	7359	5	2	1	A	A	fimH23	-	-	-	-	-	-	-	-	1743	Escherichia coli
ESC_MA7303AA	TWAG1933	ERR3330601;ILLUMINA;Paired;350;ERX3355316;SRA	Poultry	Avian	chickens	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612106	ERS3416294	2019-05-30	2019-05-20	ESC_MA7303AA	-	H28	348	ST156 Cplx	ND	ND	Assembled	82	226660	4767139	Escherichia coli / Shigella;100.0%	84	13124	4	ESC_ZA6222AA_AS	108778	97759	97759	97759	97759	97759	97759	97759	97759	1131	1131	1131	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	15309	Escherichia coli
ESC_MA7304AA	TWAG1926	ERR3330600;ILLUMINA;Paired;350;ERX3355315;SRA	ND	Avian	avian	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612105	ERS3416293	2019-05-30	2019-05-20	ESC_MA7304AA	O9	H4	58	ST155 Cplx	AxB1	ND	Assembled	57	127319	4946094	Escherichia coli / Shigella;97.86%	118	24089	4	ESC_ZA6221AA_AS	108787	97760	97760	97760	97760	97760	97674	97674	1186	1186	106	106	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	1601	Escherichia coli
ESC_MA7305AA	TWAG1922	ERR3330599;ILLUMINA;Paired;350;ERX3355314;SRA	Poultry	Avian	chickens	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612104	ERS3416292	2019-05-30	2019-05-20	ESC_MA7305AA	O8	H21	398	ST398 Cplx	ND	ND	Assembled	94	167158	4724862	Escherichia coli / Shigella;100.0%	95	14282	4	ESC_ZA6220AA_AS	108781	97776	97776	97776	97776	97776	97776	97776	97776	97776	97776	13	5	2	1	A	A	fimH54	-	-	-	-	-	-	-	-	146529	Escherichia coli
ESC_MA7306AA	TWAG1916	ERR3330598;ILLUMINA;Paired;350;ERX3355313;SRA	ND	Avian	avian	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612103	ERS3416291	2019-05-30	2019-05-20	ESC_MA7306AA	O105	H4	642	ST278 Cplx	ND	ND	Assembled	90	134015	5189324	Escherichia coli / Shigella;91.39%	299	19791	4	ESC_ZA6219AA_AS	108784	97763	97763	97763	97763	97763	97763	97763	97763	97763	578	84	5	2	1	B1	B1	fimH31	-	-	-	-	-	-	-	-	117735	Escherichia/Shigella sp.
ESC_MA7307AA	TWAG1910	ERR3330597;ILLUMINA;Paired;350;ERX3355312;SRA	Wild Animal	Rodent	rodent	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612102	ERS3416290	2019-05-30	2019-05-20	ESC_MA7307AA	O81	H21	9441	ST205 Cplx	AxB1	ND	Assembled	59	200891	5150151	Escherichia coli / Shigella;85.06%	113	22420	4	ESC_ZA6218AA_AS	108790	97770	97770	97770	97770	97770	97770	96257	96257	4329	4329	1081	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	32425	Escherichia/Shigella sp.
ESC_MA7308AA	TWAG1901	ERR3330596;ILLUMINA;Paired;350;ERX3355311;SRA	Wild Animal	Rodent	rodent	2016	9	13		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612101	ERS3416289	2019-05-30	2019-05-20	ESC_MA7308AA	OX21	H7	1304	ND	B1	ND	Assembled	80	472749	4740565	Escherichia coli / Shigella;96.87%	43	7835	4	ESC_ZA6217AA_AS	108792	97771	97771	97771	97771	97771	97771	97771	97771	17671	3307	152	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	30159	Escherichia/Shigella sp.
ESC_MA7309AA	TWAG1897	ERR3330595;ILLUMINA;Paired;350;ERX3355310;SRA	Environment	Environment	household environment	2016	9	15		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612100	ERS3416288	2019-05-30	2019-05-20	ESC_MA7309AA	O8	H4	10	ST10 Cplx	A	ND	Assembled	99	201258	4786922	Escherichia coli / Shigella;93.87%	84	22899	4	ESC_ZA6216AA_AS	108794	97765	97765	97765	97765	97765	96796	96796	96796	96796	13	13	5	2	1	A	A	fimH24	-	-	-	-	-	-	-	-	2011	Escherichia coli
ESC_MA7310AA	TWAG1891	ERR3330594;ILLUMINA;Paired;350;ERX3355309;SRA	Poultry	Avian	chickens	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612099	ERS3416287	2019-05-30	2019-05-20	ESC_MA7310AA	O76	H32	2935	ST10 Cplx	A	ND	Assembled	59	97556	4675358	Escherichia coli / Shigella;94.83%	192	25416	4	ESC_ZA6215AA_AS	108785	97774	97774	97774	97774	97774	97774	97774	97774	97774	97774	13	5	2	1	A	A	fimH23	-	-	-	-	-	-	-	-	1952	Escherichia coli
ESC_MA7311AA	TWAG1884	ERR3330593;ILLUMINA;Paired;350;ERX3355308;SRA	Food	Dairy	goat	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612098	ERS3416286	2019-05-30	2019-05-20	ESC_MA7311AA	O5	H19	447	ST20 Cplx	ND	ND	Assembled	55	203945	5282642	Escherichia coli / Shigella;98.58%	177	47397	4	ESC_ZA6214AA_AS	108805	97777	97777	97777	97777	97777	97777	97777	97777	97777	3050	3050	3050	2	1	B1	B1	fimH1115	E. coli - STEC	+	+	-	-	-	-	-	30622	Escherichia/Shigella sp.
ESC_MA7312AA	TWAG1878	ERR3330592;ILLUMINA;Paired;350;ERX3355307;SRA	Food	Dairy	goat	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612097	ERS3416285	2019-05-30	2019-05-20	ESC_MA7312AA	O3	H21	297	ND	AxB1	ND	Assembled	68	134681	5089357	Escherichia coli / Shigella;99.44%	228	53688	4	ESC_ZA6213AA_AS	108788	97775	97772	97772	97772	97772	97075	67258	2004	2004	1081	1081	5	2	1	B1	B1	fimH38	E. coli - STEC	+	+	-	-	-	-	-	146433	Escherichia coli
ESC_MA7313AA	TWAG1873	ERR3330591;ILLUMINA;Paired;350;ERX3355306;SRA	Food	Dairy	goat	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612096	ERS3416284	2019-05-30	2019-05-20	ESC_MA7313AA	-	H14	1727	ST446 Cplx	AxB1	ND	Assembled	78	280256	5043685	Escherichia coli / Shigella;100.0%	91	10352	4	ESC_ZA6212AA_AS	108798	97778	97778	97778	97778	97778	97778	97778	21990	9017	9017	124	5	2	1	B1	B1	fimH31	-	-	-	-	-	-	-	-	15100	Escherichia coli
ESC_MA7314AA	TWAG1869	ERR3330590;ILLUMINA;Paired;350;ERX3355305;SRA	Food	Dairy	goat	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612095	ERS3416283	2019-05-30	2019-05-20	ESC_MA7314AA	O3	H21	297	ND	AxB1	ND	Assembled	49	134681	5093382	Escherichia coli / Shigella;99.42%	231	56151	4	ESC_ZA6211AA_AS	108801	97772	97772	97772	97772	97772	97075	67258	2004	2004	1081	1081	5	2	1	B1	B1	fimH38	E. coli - STEC	+	+	-	-	-	-	-	146433	Escherichia coli
ESC_MA7315AA	TWAG1862	ERR3330589;ILLUMINA;Paired;350;ERX3355304;SRA	Food	Dairy	goat	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612094	ERS3416282	2019-05-30	2019-05-20	ESC_MA7315AA	O85	H31	9564	ND	ND	ND	Assembled	89	299020	4676678	Escherichia coli / Shigella;100.0%	48	13983	4	ESC_ZA6210AA_AS	108791	97773	97773	97773	97773	97773	97773	97773	97773	97773	7529	3328	1181	1	1	B2	B2	fimH88	E. coli - EPEC	-	-	-	-	-	-	+	112873	Escherichia/Shigella sp.
ESC_MA7316AA	TWAG1857	ERR3330588;ILLUMINA;Paired;350;ERX3355303;SRA	Wild Animal	Rodent	rodent	2016	9	13		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612093	ERS3416281	2019-05-30	2019-05-20	ESC_MA7316AA	O30	H21	4732	ST155 Cplx	ND	ND	Assembled	88	193452	4817943	Escherichia coli / Shigella;97.15%	103	16143	4	ESC_ZA6209AA_AS	108802	97780	97649	97649	97649	97649	97649	97649	97649	97649	106	106	5	2	1	B1	B1	fimH30	-	-	-	-	-	-	-	-	146502	Escherichia coli
ESC_MA7317AA	TWAG1848	ERR3330587;ILLUMINA;Paired;350;ERX3355302;SRA	Wild Animal	Rodent	rodent	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612092	ERS3416280	2019-05-30	2019-05-20	ESC_MA7317AA	O81	H21	9441	ST205 Cplx	AxB1	ND	Assembled	106	200684	5145700	Escherichia coli / Shigella;85.37%	98	32637	4	ESC_ZA6208AA_AS	108793	97781	97781	97781	97781	97781	97781	96257	96257	4329	4329	1081	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	117736	Escherichia/Shigella sp.
ESC_MA7318AA	TWAG1841	ERR3330586;ILLUMINA;Paired;350;ERX3355301;SRA	Environment	Environment	pens	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612091	ERS3416279	2019-05-30	2019-05-20	ESC_MA7318AA	B11	H45	9565	ND	ND	ND	Assembled	107	636025	4727277	Escherichia coli / Shigella;100.0%	41	7302	4	ESC_ZA6207AA_AS	108795	97783	97783	97783	97783	97783	97783	97783	97783	97783	97783	64683	64683	3308	1	B2	B2	*	-	-	-	-	-	-	-	-	86496	Escherichia/Shigella sp.
ESC_MA7319AA	TWAG1835	ERR3330585;ILLUMINA;Paired;350;ERX3355300;SRA	Environment	Environment	household environment	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612090	ERS3416278	2019-05-30	2019-05-20	ESC_MA7319AA	O21	H12	155	ST155 Cplx	B1	ND	Assembled	85	184806	4766200	Escherichia coli / Shigella;98.9%	127	12567	4	ESC_ZA6206AA_AS	108799	97779	97779	97779	97779	97779	97779	97779	3342	1067	106	106	5	2	1	B1	B1	fimH881	-	-	-	-	-	-	-	-	34957	Escherichia/Shigella sp.
ESC_MA7320AA	TWAG1831	ERR3330584;ILLUMINA;Paired;350;ERX3355299;SRA	Human	Human	human	2016	9	13		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612089	ERS3416277	2019-05-30	2019-05-20	ESC_MA7320AA	O4	H16	4537	ST10 Cplx	ND	ND	Assembled	75	151281	4842939	Escherichia coli / Shigella;82.81%	115	22009	4	ESC_ZA6205AA_AS	108796	97786	97786	96968	96968	96968	96968	96968	96515	96515	32108	13	5	2	1	A	A	fimH400	-	-	-	-	-	-	-	-	117747	Escherichia/Shigella sp.
ESC_MA7321AA	TWAG1826	ERR3330583;ILLUMINA;Paired;350;ERX3355298;SRA	Human	Human	human	2016	9	14		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612088	ERS3416276	2019-05-30	2019-05-20	ESC_MA7321AA	O8	H25	58	ST155 Cplx	AxB1	ND	Assembled	86	126045	5024089	Escherichia coli / Shigella;97.59%	122	14759	4	ESC_ZA6204AA_AS	108804	97782	97782	97782	97782	97782	97782	9950	1186	1186	106	106	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	146434	Escherichia coli
