Genome	Genome	Bird	ST
FH176	#N/A	#N/A	#N/A
FH177	AusGEM_00208	121	135
FH178	AusGEM_00209	126	117
FH179	AusGEM_00210	123	117
FH17	AusGEM_00211	10	1818
FH180	AusGEM_00212	123	117
FH181	AusGEM_00213	117	117
FH182	AusGEM_00214	117	117
FH183	AusGEM_00215	117	117
FH184	AusGEM_00216	117	117
FH185	AusGEM_00217	117	117
FH186	AusGEM_00218	117	117
FH187	AusGEM_00219	122	135
FH188	AusGEM_00220	122	135
FH189	AusGEM_00221	126	117
FH18	AusGEM_00222	11	167
FH190	AusGEM_00223	126	117
FH191	AusGEM_00224	126	117
FH192	AusGEM_00225	126	117
FH193	AusGEM_00226	29	95
FH194	AusGEM_00227	29	95
FH195	AusGEM_00228	66	117
FH196	AusGEM_00229	66	117
FH197	AusGEM_00230	66	117
FH198	AusGEM_00231	66	117
FH199	AusGEM_00232	66	117
FH19	AusGEM_00233	11	117
FH1	AusGEM_00234	7	1818
FH200	AusGEM_00235	67	88
FH201	AusGEM_00236	68	1722
FH202	#N/A	#N/A	#N/A
FH203	AusGEM_00238	45	117
FH204	AusGEM_00239	45	117
FH205	AusGEM_00240	45	117
FH206	AusGEM_00241	49	57
FH207	AusGEM_00242	49	57
FH208	AusGEM_00243	49	57
FH209	AusGEM_00244	49	57
FH20	AusGEM_00245	12	117
FH210	AusGEM_00246	48	155
FH211	AusGEM_00247	49	57
FH212	AusGEM_00248	51	57
FH213	AusGEM_00249	51	57
FH214	AusGEM_00250	49	57
FH21	AusGEM_00251	13	1914
FH22	AusGEM_00252	13	1914
FH23	AusGEM_00253	13	117
FH24	AusGEM_00254	14	117
FH25	AusGEM_00255	14	117
FH26	AusGEM_00256	14	117
FH27	AusGEM_00257	185	117
FH28	AusGEM_00258	183	101
FH29	AusGEM_00259	173	69
FH2	AusGEM_00260	7	1818
FH30	AusGEM_00261	173	69
FH31	AusGEM_00262	228	57
FH32	AusGEM_00263	209	57
FH33	AusGEM_00264	234	10
FH34	AusGEM_00265	228	57
FH35	AusGEM_00266	228	57
FH36	AusGEM_00267	55	101
FH37	AusGEM_00268	59	95
FH38	AusGEM_00269	59	95
FH39	AusGEM_00270	59	95
FH3	AusGEM_00271	7	11026
FH40	AusGEM_00272	60	665
FH41	AusGEM_00273	31	57
FH42	AusGEM_00274	31	57
FH43	AusGEM_00275	31	57
FH44	AusGEM_00276	31	57
FH45	AusGEM_00277	31	57
FH46	AusGEM_00278	31	57
FH47	AusGEM_00279	31	57
FH48	AusGEM_00280	37	10
FH49	AusGEM_00281	32	57
FH4	AusGEM_00282	8	117
FH50	AusGEM_00283	32	57
FH51	#N/A	374	57
FH52	AusGEM_00285	374	57
FH53	AusGEM_00286	375	117
FH54	AusGEM_00287	375	117
FH55	AusGEM_00288	375	117
FH56	AusGEM_00289	375	117
FH57	AusGEM_00290	98	69
FH58	AusGEM_00291	98	4710
FH59	AusGEM_00292	105	350
FH5	AusGEM_00293	8	117
FH60	AusGEM_00294	79	93
FH61	AusGEM_00295	79	69
FH62	AusGEM_00296	79	69
FH63	AusGEM_00297	79	69
FH64	AusGEM_00298	79	69
FH65	AusGEM_00299	79	69
FH66	#N/A	#N/A	#N/A
FH67	AusGEM_00301	79	69
FH68	AusGEM_00302	82	117
FH69	AusGEM_00303	82	117
FH6	#N/A	#N/A	#N/A
FH70	AusGEM_00305	82	117
FH71	AusGEM_00306	82	117
FH72	AusGEM_00307	82	117
FH73	AusGEM_00308	83	69
FH74	AusGEM_00309	83	69
FH75	#N/A	#N/A	#N/A
FH76	AusGEM_00311	83	69
FH77	AusGEM_00312	83	69
FH78	AusGEM_00313	88	95
FH79	AusGEM_00314	329	95
FH7	AusGEM_00315	8	117
FH80	AusGEM_00316	329	95
FH81	AusGEM_00317	329	95
FH82	AusGEM_00318	329	95
FH83	AusGEM_00319	332	752
FH84	AusGEM_00320	332	752
FH85	AusGEM_00321	332	752
FH86	#N/A	#N/A	#N/A
FH87	AusGEM_00323	329	117
FH88	AusGEM_00324	334	95
FH89	AusGEM_00325	334	95
FH8	AusGEM_00326	8	117
FH90	AusGEM_00327	334	95
FH91	AusGEM_00328	334	95
FH92	AusGEM_00329	334	95
FH93	AusGEM_00330	335	95
FH94	AusGEM_00331	335	95
FH95	AusGEM_00332	335	95
FH96	AusGEM_00333	335	95
FH97	AusGEM_00334	337	95
FH98	AusGEM_00335	337	95
FH99	AusGEM_00336	337	95
FH9	AusGEM_00337	9	1818
